director,release_year,movie_id,title,weighted_rating
Donald Petrie,1999,9849,My Favorite Martian,6.016823768615723
Donald Petrie,1994,11011,Ri¢hie Ri¢h,5.883901119232178
Donald Petrie,1988,11191,Mystic Pizza,6.071331024169922
Niall Johnson,1998,162396,The Big Swap,6.093305587768555
Mike Marvin,1986,10017,The Wraith,6.073739528656006
Babar Ahmed,2009,40914,Royal Kill,6.072829246520996
Coky Giedroyc,2009,36597,Wuthering Heights,6.123272895812988
David Silverman,2007,35,The Simpsons Movie,6.659968852996826
Valeri Milev,2015,106845,Re-Kill,6.052447319030762
Jim Sheridan,2011,69668,Dream House,6.008355617523193
Jim Sheridan,2009,7445,Brothers,6.37429666519165
Jim Sheridan,2005,10060,Get Rich or Die Tryin',6.126882076263428
Gaspar Noé,2009,34647,Enter the Void,6.411500930786133
Gaspar Noé,2002,979,Irreversible,6.45509672164917
Yoon Je-kyoon,2009,33196,Tidal Wave,6.1126909255981445
Richard Wallace,1947,56930,Tycoon,6.095410346984863
Will Canon,2015,234212,Demonic,5.933766841888428
Liv Ullmann,2014,230266,Miss Julie,6.084641456604004
Peter Yates,1983,849,Krull,6.058529376983643
Dan St. Pierre,2013,59981,Legends of Oz: Dorothy's Return,6.085010051727295
Cedric Nicolas-Troyan,2016,290595,The Huntsman: Winter's War,6.0360517501831055
Theodore Witcher,1997,27322,Love Jones,6.118104934692383
John Frankenheimer,2000,2155,Reindeer Games,5.987349987030029
John Frankenheimer,1998,8195,Ronin,6.340185642242432
John Frankenheimer,1996,9306,The Island of Dr. Moreau,5.8948283195495605
John Frankenheimer,1979,31915,Prophecy,6.075691223144531
John Frankenheimer,1964,3482,The Train,6.170591831207275
Jason Miller,2014,268917,The Past Is a Grotesque Animal,6.092070579528809
Max Färberböck,1999,2211,Aimee & Jaguar,6.097527980804443
Andrew Bergman,2000,75531,Isn't She Great,6.071819305419922
Andrew Bergman,1996,9879,Striptease,5.795085906982422
Ariel Vromen,2016,302156,Criminal,5.9487996101379395
Ariel Vromen,2012,68812,The Iceman,6.177855014801025
Allison Burnett,2014,271185,Ask Me Anything,6.010754108428955
Martha Coolidge,2004,11137,The Prince & Me,6.049862384796143
George Sidney,1951,17820,Show Boat,6.10816764831543
George Sidney,1950,25209,Annie Get Your Gun,6.120367050170898
George Sidney,1944,43546,Bathing Beauty,6.097071647644043
Ari Folman,2008,8885,Waltz with Bashir,6.490623950958252
Max Mayer,2009,22051,Adam,6.20241641998291
Wallace Wolodarsky,2002,6020,Sorority Boys,6.023538589477539
Tadeo Garcia,2004,182291,On The Downlow,6.093111515045166
Christopher Leitch,1987,15582,Teen Wolf Too,5.988338470458984
Joshua Michael Stern,2008,10187,Swing Vote,6.074687480926514
Bryan Singer,2016,246655,X-Men: Apocalypse,6.3482184410095215
Bryan Singer,2014,127585,X-Men: Days of Future Past,7.307034969329834
Bryan Singer,2013,81005,Jack the Giant Slayer,5.659960746765137
Bryan Singer,2008,2253,Valkyrie,6.427101135253906
Bryan Singer,2006,1452,Superman Returns,5.681848049163818
Bryan Singer,2003,36658,X2,6.648214817047119
Bryan Singer,2000,36657,X-Men,6.665957450866699
Bryan Singer,1995,629,The Usual Suspects,7.643218517303467
Jeff Franklin,1999,15122,Love Stinks,6.085443496704102
Benh Zeitlin,2012,84175,Beasts of the Southern Wild,6.302408218383789
Valerie Red-Horse,1999,302579,Naturally Native,6.093305587768555
Franklin J. Schaffner,1981,47890,Sphinx,6.093111515045166
Franklin J. Schaffner,1978,16241,The Boys from Brazil,6.141584873199463
