release_year,popularity,movie_id,title
2014,0.6543400287628174,248402,A Fine Step
2014,0.5428140163421631,277519,Z Storm
2014,0.5231220126152039,331745,Top Spin
2014,0.48540499806404114,239897,Dwegons
2014,0.4593999981880188,272724,Doc Holliday's Revenge
2014,0.43048998713493347,280381,House at the End of the Drive
2014,0.41617900133132935,280871,Ramanujan
2014,0.39457499980926514,268917,The Past Is a Grotesque Animal
2014,0.3844960033893585,281230,Fort McCoy
2014,0.37133699655532837,281730,Fugly
2014,0.35055699944496155,263503,Water & Power
2014,0.32779398560523987,287625,Stories of Our Lives
2014,0.2839699983596802,272726,Dude Where's My Dog?
2014,0.2789810001850128,274758,Give Me Shelter
2014,0.2546589970588684,288927,Archaeology of a Woman
2014,0.17637699842453003,294086,Tiger Orange
2014,0.13672100007534027,198370,Mutual Friends
2014,0.13361899554729462,189711,Love in the Time of Monsters
2014,0.07787299901247025,295914,Queen of the Mountains
2014,0.07307899743318558,297100,The Little Ponderosa Zoo
2014,0.07235900312662125,362765,The Sound and the Shadow
2014,0.06924399733543396,253261,Born to Fly: Elizabeth Streb vs. Gravity
2014,0.052942000329494476,328307,Rise of the Entrepreneur: The Search for a Better Way
2014,0.050978001207113266,408429,Perfect Cowboy
2014,0.0494690015912056,326576,Dawn of the Crescent Moon
2014,0.0456480011343956,296943,The Hadza:  Last of the First
2014,0.021418999880552292,294550,The Outrageous Sophie Tucker
2014,0.018716000020503998,402515,American Beast
2014,0.018086999654769897,378237,Amidst the Devil's Wings
2014,0.015697000548243523,282128,An American in Hollywood
2014,0.015294999815523624,433715,8 Days
2014,0.015189000405371189,253290,Butterfly Girl
2014,0.012942000292241573,331493,Light from the Darkroom
1965,37.960289001464844,15121,The Sound of Music
1965,31.035999298095703,660,Thunderball
1965,12.854852676391602,907,Doctor Zhivago
1965,8.701183319091797,13187,A Charlie Brown Christmas
1965,7.791897773742676,2786,Pierrot le Fou
1965,3.4902150630950928,29715,Major Dundee
1965,3.011204957962036,2428,The Greatest Story Ever Told
1965,0.11832399666309357,41830,The Party's Over
1983,70.1059799194336,111,Scarface
1983,46.509071350097656,1892,Return of the Jedi
1983,34.02220916748047,1621,Trading Places
1983,25.633663177490234,700,Octopussy
1983,23.380756378173828,36670,Never Say Never Again
1983,23.161754608154297,860,WarGames
1983,22.838834762573242,11153,National Lampoon's Vacation
1983,22.164201736450195,9531,Superman III
1983,18.42232322692871,535,Flashdance
1983,18.119264602661133,837,Videodrome
1983,17.567331314086914,9549,The Right Stuff
1983,16.785120010375977,11336,The Dead Zone
1983,15.128315925598145,850,A Christmas Story
1983,13.45537281036377,227,The Outsiders
1983,12.902975082397461,15301,Twilight Zone: The Movie
1983,9.90488052368164,849,Krull
1983,8.452666282653809,14854,Lone Wolf McQuade
1983,3.389249086380005,10269,Yentl
1983,2.5500450134277344,33676,Losin' It
1983,0.5928210020065308,218500,The Ballad of Gregorio Cortez
1983,0.5576019883155823,42109,Gabriela
1983,0.28943300247192383,110683,The Wicked Lady
1983,0.001585999969393015,75986,Love Letters
2003,271.972900390625,22,Pirates of the Caribbean: The Curse of the Black Pearl
2003,123.63033294677734,122,The Lord of the Rings: The Return of the King
2003,109.6847915649414,310,Bruce Almighty
2003,85.68878936767578,12,Finding Nemo
2003,81.82923889160156,277,Underworld
2003,79.75496673583984,24,Kill Bill: Vol. 1
2003,73.31391906738281,605,The Matrix Revolutions
2003,70.7859115600586,604,The Matrix Reloaded
2003,69.40518951416016,296,Terminator 3: Rise of the Machines
2003,62.76685333251953,9654,The Italian Job
2003,56.81105422973633,1996,Lara Croft Tomb Raider: The Cradle of Life
2003,56.76348876953125,670,Oldboy
2003,52.341224670410156,616,The Last Samurai
2003,47.436676025390625,8698,The League of Extraordinary Gentlemen
2003,46.19948196411133,587,Big Fish
2003,45.915164947509766,2832,Identity
2003,45.66661834716797,153,Lost in Translation
2003,43.05732345581055,1584,School of Rock
2003,38.0687370300293,8961,Bad Boys II
2003,37.35582733154297,9358,Final Destination 2
2003,37.07312774658203,508,Love Actually
2003,36.97303009033203,8619,Master and Commander: The Far Side of the World
2003,36.58551025390625,4256,Scary Movie 3
2003,36.194801330566406,8273,American Wedding
2003,34.98169708251953,1927,Hulk
2003,34.05225372314453,9257,S.W.A.T.
2003,33.61611557006836,9471,Charlie's Angels: Full Throttle
2003,33.555763244628906,9902,Wrong Turn
2003,32.24335861206055,470,21 Grams
2003,31.242998123168945,322,Mystic River
2003,29.211254119873047,9341,The Core
2003,29.01882553100586,9620,Paycheck
2003,28.029014587402344,9486,Johnny English
2003,27.555646896362305,1428,Once Upon a Time in Mexico
2003,27.303607940673828,4970,Gothika
2003,27.055084228515625,9567,Tears of the Sun
2003,26.79279327392578,6171,Dreamcatcher
2003,26.695920944213867,6466,Freddy vs. Jason
2003,26.588729858398438,10147,Bad Santa
2003,26.516624450683594,11007,Cheaper by the Dozen
2003,24.70166015625,11635,Old School
2003,24.598478317260742,2289,Cold Mountain
