actor_name,movie_id,release_year,title
Nia Long,11565,2006,Big Momma's House 2
Nia Long,11637,2005,Are We There Yet?
Nia Long,14181,2000,Boiler Room
Nia Long,16162,1999,The Best Man
Nia Long,19489,1999,Held Up
Nia Long,22314,1999,In Too Deep
Nia Long,27322,1997,Love Jones
Nia Long,29461,1997,Soul Food
Nia Long,66025,2011,Mooz-lum
Sylvia Miles,3116,1969,Midnight Cowboy
Mark Pellegrino,39303,2009,2:13
Ava Gardner,17820,1951,Show Boat
Ava Gardner,27759,1963,55 Days at Peking
Michael Welch,9022,2008,All the Boys Love Mandy Lane
Michael Welch,165864,2013,Hansel and Gretel Get Baked
Michael Welch,206284,2013,Grace Unplugged
Alphonso McAuley,15045,2004,Fat Albert
Bryan Callen,38570,2010,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It
Franka Potente,104,1998,Run Lola Run
Franka Potente,1698,2000,Anatomy
Franka Potente,2501,2002,The Bourne Identity
Franka Potente,2502,2004,The Bourne Supremacy
Franka Potente,4133,2001,Blow
Katja Škofić,385636,2015,Juliet and Alfa Romeo
Alessandro Lindblad,301351,2015,We Are Your Friends
Chris New,79120,2011,Weekend
